Word,Total Word Count
good,195069
taste,166418
great,163381
coffee,159949
product,146322
flavor,142105
tea,132915
love,126602
food,123501
time,80702
amazon,78215
buy,76182
best,75273
price,73431
find,73080
better,68747
well,68395
eat,66588
dog,65994
water,58700
chocolate,58583
bag,55379
sugar,51719
cup,50682
drink,49892
bought,49698
sweet,49668
box,48744
day,45293
tastes,45181
store,43586
order,43210
bit,42504
recommend,42471
nice,40934
delicious,39576
favorite,39370
mix,37962
flavors,37890
free,37377
hot,37254
dogs,36589
brand,36380
loves,36374
years,35775
stuff,35769
cat,35491
lot,35328
treats,35259
add,35039
healthy,34423
chips,34008
quality,33478
organic,33415
ingredients,33327
small,33317
milk,32954
ordered,32233
keep,32078
perfect,32048
snack,31680
strong,31604
eating,31566
sure,31185
bad,30967
easy,30374
products,29931
hard,29516
green,29430
treat,29395
long,29219
enjoy,29166
fresh,29156
definitely,29100
buying,29086
pack,28838
bags,28817
salt,28702
regular,28633
thought,28453
thing,28260
oil,28155
cookies,27829
high,27524
pretty,27472
chicken,27459
local,27046
natural,26903
work,26808
happy,26783
size,26770
cats,26320
big,26019
going,25979
package,25549
people,25449
tasty,24957
diet,24833
shipping,24370
real,24357
foods,23872
highly,23815
feel,23775
butter,23774
sauce,23720
wonderful,23672
calories,23411
purchased,23144
purchase,23101
tasted,23038
dry,22952
bars,22919
worth,22647
excellent,22493
texture,22185
expensive,21760
amount,21489
year,21420
smell,21280
protein,21185
rice,20993
coconut,20965
dark,20951
tasting,20919
fat,20888
stores,20884
grocery,20665
half,20486
low,20312
morning,20196
kind,20189
brands,19942
things,19888
fruit,19767
bottle,19753
vanilla,19719
loved,19609
received,19451
full,19362
blend,19016
family,18930
days,18857
months,18766
three,18652
problem,18628
reviews,18580
cereal,18458
case,18389
health,18225
candy,17996
black,17945
bar,17800
company,17583
making,17497
flavored,17380
drinking,17313
light,17308
peanut,17289
money,17194
large,17165
gluten,16975
arrived,16942
review,16916
times,16501
top,16336
kids,16281
item,16223
bitter,16165
variety,16129
disappointed,15961
extra,15939
stars,15873
fact,15833
corn,15822
beans,15676
decided,15664
husband,15640
packaging,15515
save,15487
started,15484
absolutely,15391
fine,15336
boxes,15311
cheese,15278
prefer,15204
honey,15181
popcorn,15040
teas,15004
couple,14975
smooth,14962
deal,14896
recommended,14729
house,14710
energy,14696
wanted,14497
works,14422
cream,14389
cheaper,14382
breakfast,14294
cups,14285
minutes,14190
cost,14141
ago,14108
open,14086
read,13899
roast,13897
meal,13879
white,13745
longer,13476
rich,13456
baby,13409
syrup,13399
juice,13369
help,13319
powder,13265
cans,13256
ordering,13093
bread,12991
meat,12952
bold,12940
pieces,12931
red,12912
serving,12846
soft,12764
amazing,12723
cookie,12664
month,12554
fast,12527
keurig,12462
k-cups,12435
weight,12327
glad,12180
week,12142
fan,12129
spicy,12094
quick,12021
side,11954
second,11920
soup,11893
likes,11659
mouth,11614
plastic,11390
gift,11289
difference,11253
pasta,11217
beef,11179
ginger,11130
hair,11110
cinnamon,11008
starbucks,10949
mixed,10868
opened,10862
crunchy,10857
friends,10809
potato,10790
feed,10735
wheat,10732
canned,10712
type,10709
problems,10694
brew,10644
jerky,10620
ice,10613
cold,10575
dried,10488
son,10387
reason,10362
online,10360
market,10341
life,10316
teeth,10257
version,10246
easily,10230
super,10215
enjoyed,10162
chew,10122
pet,10110
artificial,10092
weeks,10070
start,10047
nuts,10034
care,10003
smaller,10000
fiber,9986
cut,9947
salty,9936
left,9924
cooking,9923
brown,9912
container,9890
machine,9860
formula,9856
guess,9844
french,9799
k-cup,9754
soy,9693
snacks,9677
plain,9562
drinks,9559
place,9548
course,9547
exactly,9534
yummy,9517
blue,9445
ingredient,9408
bowl,9376
recipe,9371
single,9305
awesome,9301
spice,9268
alternative,9261
choice,9259
vet,9246
clean,9246
oatmeal,9227
night,9216
coffees,9205
lemon,9198
daily,9184
original,9176
surprised,9115
simply,9081
pleased,9062
pay,9039
ate,9022
daughter,8995
special,8995
aroma,8983
cocoa,8969
crackers,8956
wife,8918
compared,8893
decaf,8885
smells,8879
hand,8863
aftertaste,8862
wrong,8860
list,8781
sodium,8771
pods,8769
flour,8741
finally,8734
color,8726
picky,8724
close,8717
caffeine,8710
cook,8661
huge,8653
mild,8646
inside,8643
subscribe,8635
hope,8626
body,8620
noticed,8594
feeding,8572
jar,8567
change,8551
heat,8537
ground,8509
almonds,8507
looked,8500
experience,8499
stick,8469
hours,8444
chip,8421
flavorful,8408
stomach,8404
apple,8389
helps,8287
idea,8284
live,8216
service,8206
orange,8199
packs,8150
needed,8144
pepper,8142
friend,8117
adding,8086
leave,8058
expected,8042
fish,8038
larger,8005
delivery,8002
lots,7993
soda,7984
cake,7981
bite,7955
gum,7912
instant,7899
espresso,7881
completely,7871
leaves,7869
star,7812
bottles,7809
continue,7794
bulk,7763
convenient,7750
raw,7726
iced,7725
takes,7711
grain,7706
seeds,7706
skin,7700
noodles,7685
bottom,7667
medium,7651
fantastic,7631
cheap,7570
extremely,7564
weak,7559
packaged,7492
expect,7461
rest,7459
mind,7436
eaten,7376
mine,7325
pot,7321
shipped,7311
healthier,7291
packages,7290
excited,7278
wellness,7239
label,7238
told,7238
based,7183
stock,7174
chewy,7170
granola,7163
glass,7146
ounce,7136
chai,7125
filling,7084
sold,7082
packets,7061
waste,7054
issues,7050
normal,7009
entire,7002
grams,7000
items,6961
note,6889
maker,6842
carry,6841
crunch,6831
thick,6808
